CODIGOUG,NOMEUG,TOTALEMPENHO,TOTALPAGAR
220905,"FUNDO DE MOD., MANUT. E REEQ. DO CBMDF - FUNCBM",3568,132
130902,FUNDO DE MODERNIZAÇÃO E REAPAR. DA ADM. FAZENDÁRIA,4014,0
200902,FUNDO DE TRANSPORTE PÚBLICO COLETIVO DO DF,12371110,0
250902,FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER,29757222,99167
220908,FUNDO PENITENCIÁRIO DO DF - FUNPDF,121040,0
140202,INSTITUTO DE ASSIST. À SAÚDE DOS SERV. DO DF-INAS,309004,0
280208,INSTITUTO DE MEIO AMBIENTE E REC. HÍDRICOS DO DF,198582,0
320203,INSTITUTO DE PREV. DOS SERVIDORES DO DF - IPREV/DF,19324536,50063
320204,IPREV - FUNDO CAPITALIZADO DE PREVIDÊNCIA DO DF,918113866,15939
150106,JARDIM BOTÂNICO DE BRASÍLIA,52461,0
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL - PCDF,14994606,34897
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF,343557,0
120101,PROCURADORIA - GERAL DO DISTRITO FEDERAL,14271630,207
